                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.65588,                  1.343,                 1.8071,                0.76015,                0.71535,                0.76983,                0.66154,                0.74253,                 1.3606,                 1.8573,               0.005347,               0.005347,               0.005347
                     96,                0.66025,                 1.3342,                  1.807,                0.76963,                0.70578,                0.76999,                0.66141,                0.74236,                 1.3608,                  1.857,              0.0052975,              0.0052975,              0.0052975
                     97,                0.65609,                 1.3138,                 1.8035,                0.77092,                0.70795,                0.77022,                0.66119,                 0.7422,                 1.3596,                 1.8572,               0.005248,               0.005248,               0.005248
                     98,                0.65501,                 1.3161,                 1.8041,                0.76954,                0.71102,                0.77078,                0.66199,                 0.7425,                 1.3591,                 1.8576,              0.0051985,              0.0051985,              0.0051985
                     99,                0.64804,                 1.3335,                 1.8028,                0.76632,                0.71156,                0.77148,                0.66294,                0.74235,                 1.3592,                 1.8575,               0.005149,               0.005149,               0.005149
                    100,                0.65167,                 1.3156,                 1.8054,                0.77435,                0.70785,                0.77155,                0.66277,                0.74196,                 1.3588,                 1.8575,              0.0050995,              0.0050995,              0.0050995
                    101,                0.65313,                 1.3292,                 1.8025,                0.77568,                0.70828,                0.77269,                0.66384,                 0.7419,                 1.3576,                 1.8576,                0.00505,                0.00505,                0.00505
                    102,                0.63986,                 1.2843,                 1.7885,                 0.7785,                0.70957,                0.77345,                0.66476,                0.74189,                 1.3568,                 1.8578,              0.0050005,              0.0050005,              0.0050005
                    103,                0.64639,                 1.2964,                  1.788,                0.78313,                0.70366,                0.77386,                0.66453,                0.74144,                  1.356,                 1.8578,               0.004951,               0.004951,               0.004951
                    104,                0.64795,                 1.2788,                 1.7934,                0.78541,                0.70023,                0.77376,                0.66526,                0.74131,                 1.3546,                 1.8576,              0.0049015,              0.0049015,              0.0049015
                    105,                0.64615,                 1.2716,                 1.7937,                0.78818,                0.69685,                0.77402,                0.66526,                0.74146,                 1.3552,                 1.8576,               0.004852,               0.004852,               0.004852
                    106,                0.64505,                 1.2949,                 1.7882,                0.78335,                0.70139,                0.77463,                0.66616,                0.74137,                 1.3546,                 1.8575,              0.0048025,              0.0048025,              0.0048025
                    107,                0.64367,                 1.2665,                  1.793,                0.77939,                0.70609,                0.77475,                0.66645,                0.74149,                 1.3548,                 1.8581,               0.004753,               0.004753,               0.004753
                    108,                0.64027,                   1.25,                 1.7859,                0.77052,                0.71298,                0.77551,                0.66772,                0.74134,                 1.3538,                 1.8587,              0.0047035,              0.0047035,              0.0047035
                    109,                0.63958,                 1.2571,                  1.787,                0.76876,                0.71225,                0.77568,                0.66756,                0.74128,                 1.3524,                 1.8587,               0.004654,               0.004654,               0.004654
                    110,                0.63272,                 1.2436,                 1.7829,                0.76764,                0.71154,                0.77595,                0.66798,                0.74126,                 1.3515,                 1.8589,              0.0046045,              0.0046045,              0.0046045
                    111,                0.63842,                 1.2485,                 1.7776,                0.79292,                0.69422,                0.77695,                0.66885,                0.74133,                 1.3509,                 1.8592,               0.004555,               0.004555,               0.004555
                    112,                 0.6383,                 1.2362,                 1.7839,                 0.7974,                 0.6912,                0.77747,                0.66903,                0.74105,                 1.3503,                 1.8589,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.6338,                 1.2387,                 1.7749,                0.80063,                0.68831,                0.77732,                0.66883,                0.74126,                 1.3496,                 1.8596,               0.004456,               0.004456,               0.004456
                    114,                0.63425,                 1.2351,                 1.7768,                0.79988,                0.69015,                0.77821,                0.66985,                0.74119,                 1.3473,                 1.8594,              0.0044065,              0.0044065,              0.0044065
                    115,                0.63096,                 1.2292,                 1.7734,                0.77027,                0.71131,                0.77856,                 0.6698,                0.74093,                 1.3451,                 1.8592,               0.004357,               0.004357,               0.004357
                    116,                0.62912,                  1.214,                 1.7729,                  0.775,                0.70813,                0.77908,                0.67033,                0.74082,                 1.3446,                 1.8589,              0.0043075,              0.0043075,              0.0043075
                    117,                0.62349,                 1.2041,                 1.7635,                0.79306,                0.69716,                0.77926,                0.67067,                0.74049,                 1.3441,                 1.8583,               0.004258,               0.004258,               0.004258
                    118,                0.62378,                 1.2091,                 1.7671,                0.79198,                0.69849,                0.77957,                0.67042,                0.74076,                 1.3429,                 1.8585,              0.0042085,              0.0042085,              0.0042085
                    119,                0.62755,                 1.2088,                 1.7696,                0.78562,                0.70632,                0.77997,                0.67086,                0.74033,                  1.342,                 1.8583,               0.004159,               0.004159,               0.004159
                    120,                0.61796,                 1.1924,                 1.7582,                0.78649,                0.70532,                0.77996,                0.67107,                 0.7405,                 1.3403,                 1.8582,              0.0041095,              0.0041095,              0.0041095
                    121,                0.62065,                 1.1879,                 1.7581,                0.79512,                0.69449,                0.78054,                0.67175,                 0.7404,                  1.339,                 1.8583,                0.00406,                0.00406,                0.00406
                    122,                0.61243,                 1.1828,                  1.763,                0.80911,                0.68579,                0.78076,                 0.6713,                 0.7401,                 1.3385,                  1.858,              0.0040105,              0.0040105,              0.0040105
                    123,                0.61571,                 1.1824,                 1.7623,                0.81007,                 0.6864,                0.78104,                0.67175,                0.73998,                 1.3366,                  1.858,               0.003961,               0.003961,               0.003961
                    124,                0.61297,                 1.1689,                 1.7566,                0.81122,                0.68715,                0.78134,                0.67206,                0.74003,                 1.3348,                  1.858,              0.0039115,              0.0039115,              0.0039115
                    125,                0.60902,                 1.1735,                 1.7535,                 0.8096,                0.68882,                0.78167,                0.67221,                0.74012,                 1.3344,                 1.8578,               0.003862,               0.003862,               0.003862
                    126,                0.61334,                  1.162,                 1.7497,                0.81395,                 0.6872,                0.78219,                0.67287,                0.73982,                 1.3334,                 1.8576,              0.0038125,              0.0038125,              0.0038125
                    127,                0.61226,                 1.1535,                 1.7511,                 0.7966,                0.69902,                0.78294,                0.67352,                0.73947,                 1.3313,                 1.8577,               0.003763,               0.003763,               0.003763
